latitude,longitude,water_level_m,rainfall_mm,hours_rain,tide_level,historical_score,water_level_trend,rain_6h,soil_saturation,risk_level,timestamp,id,month,year_index,month_sin,month_cos,seasonal_risk_score,data_source
16.008771,108.199157,0.0,0.0,0,1.245,49.5,0.0,3.0,6.9,low,2024-06-04T23:00:00,0,,,,,,
16.037517,108.217058,2.85,34.6,6,0.965,2.0,0.1985,60.98,58.4,medium,2023-11-07T01:00:00,1,,,,,,
16.064644,108.191008,8.425,66.99,7,0.072,54.5,0.5974,127.26,100.0,critical,2021-02-15T10:00:00,2,,,,,,
15.985412,108.24117,4.443,86.04,3,1.338,44.5,0.2681,75.83,73.8,high,2023-10-15T00:00:00,3,,,,,,
15.779034,108.087314,8.392,83.79,11,0.823,59.0,0.3827,166.4,100.0,critical,2023-07-24T01:00:00,4,,,,,,
16.057374,108.118021,0.208,0.0,3,0.162,31.6,0.0541,6.12,12.1,low,2023-01-16T17:00:00,5,,,,,,
15.789891,108.105975,8.683,38.51,8,0.007,54.7,0.8184,117.0,100.0,critical,2023-06-24T07:00:00,6,,,,,,
16.067463,108.177873,1.427,20.06,1,1.34,27.5,0.1053,6.69,54.0,low,2024-08-25T09:00:00,7,,,,,,
15.98614,108.072936,0.043,0.0,3,0.122,18.3,0.0293,9.72,6.0,low,2024-06-11T14:00:00,8,,,,,,
16.067944,108.194274,6.417,33.8,6,0.111,51.0,0.3378,70.64,92.6,high,2019-09-11T22:00:00,9,,,,,,
15.98371,108.155384,0.561,6.96,0,0.985,13.8,0.0533,2.32,13.0,low,2019-06-02T03:00:00,10,,,,,,
16.033859,108.186101,2.434,48.12,8,0.244,43.4,0.146,67.49,51.2,medium,2020-05-19T16:00:00,11,,,,,,
16.004677,108.125201,4.442,31.32,8,0.01,55.5,0.4484,73.59,95.8,high,2022-02-06T16:00:00,12,,,,,,
16.061194,108.165117,3.881,31.88,3,1.186,62.8,0.3633,29.97,79.8,medium,2020-02-12T21:00:00,13,,,,,,
15.632915,108.157071,0.374,36.22,8,0.202,41.8,-0.0236,55.34,15.2,low,2022-10-16T13:00:00,14,,,,,,
15.441842,108.587571,0.906,26.23,2,1.515,20.6,0.1684,19.85,12.9,low,2024-07-28T11:00:00,15,,,,,,
15.786582,108.174666,2.005,16.14,4,1.4,45.1,-0.013,47.02,47.5,low,2024-05-18T03:00:00,16,,,,,,
15.957448,108.162062,0.437,21.99,6,0.828,53.5,-0.2148,28.17,15.6,low,2023-11-24T11:00:00,17,,,,,,
16.057878,108.153496,0.993,22.49,9,0.092,10.8,-0.101,21.07,34.4,low,2020-09-11T08:00:00,18,,,,,,
16.009771,108.198538,8.519,57.0,8,0.184,61.8,0.2978,153.77,100.0,critical,2019-02-26T10:00:00,19,,,,,,
16.057856,108.217925,2.083,50.62,6,0.2,42.5,-0.0398,76.25,46.2,medium,2021-02-09T17:00:00,20,,,,,,
16.129924,108.051237,0.262,4.59,1,1.446,33.7,0.0833,3.14,0.0,low,2020-10-09T03:00:00,21,,,,,,
15.998086,108.141191,0.584,8.08,2,1.204,17.9,0.0352,17.47,3.2,low,2023-05-31T13:00:00,22,,,,,,
16.06109,108.179939,0.013,7.38,3,0.442,51.2,0.013,8.64,15.1,low,2020-07-02T01:00:00,23,,,,,,
15.57194,108.47706,0.957,7.84,2,0.879,47.1,-0.0553,29.69,41.9,low,2021-11-05T16:00:00,24,,,,,,
16.057183,108.154311,1.255,0.0,1,1.48,16.3,0.0883,2.76,33.7,low,2020-09-11T03:00:00,25,,,,,,
16.075694,108.132919,0.7,8.59,6,0.171,12.8,-0.1324,28.81,34.8,low,2022-08-03T04:00:00,26,,,,,,
15.983459,108.071786,0.814,0.0,3,0.618,13.5,0.0819,15.73,22.9,low,2024-04-26T23:00:00,27,,,,,,
16.070086,108.193257,0.688,12.97,0,1.378,21.7,0.0423,4.32,11.6,low,2019-02-28T07:00:00,28,,,,,,
15.805649,108.380612,0.009,0.44,0,1.521,18.1,-0.1502,6.18,10.9,low,2020-09-13T05:00:00,29,,,,,,
15.092891,108.120672,0.76,20.66,5,0.633,13.6,0.0415,35.63,41.7,low,2023-10-22T20:00:00,30,,,,,,
15.369378,108.278364,1.518,38.92,1,0.839,19.7,0.1551,12.97,55.2,low,2020-11-08T23:00:00,31,,,,,,
15.805057,108.380422,4.005,10.15,2,1.389,45.3,0.4159,25.08,83.1,high,2019-02-27T04:00:00,32,,,,,,
15.882606,108.283896,6.747,59.06,10,1.048,73.2,0.3959,125.42,100.0,critical,2019-09-25T00:00:00,33,,,,,,
16.062491,108.209735,4.906,89.94,9,0.136,65.6,-0.2121,171.26,100.0,high,2021-01-16T15:00:00,34,,,,,,
16.085642,108.148159,0.243,26.64,5,0.767,26.3,-0.0042,56.1,25.5,low,2020-06-14T20:00:00,35,,,,,,
16.110054,108.260309,8.219,80.92,6,0.186,46.8,0.5121,99.21,88.2,critical,2019-07-12T17:00:00,36,,,,,,
16.08216,108.041844,7.748,68.74,10,0.138,63.3,0.4637,109.98,87.7,critical,2022-09-18T07:00:00,37,,,,,,
15.963589,108.159411,0.998,26.46,5,0.307,38.8,0.0849,34.43,22.1,low,2021-12-05T12:00:00,38,,,,,,
16.062912,108.211319,3.117,60.58,7,0.619,38.7,0.2739,115.57,62.3,high,2022-12-05T05:00:00,39,,,,,,
15.684095,108.015188,0.893,6.25,0,1.096,48.8,0.206,14.2,19.8,low,2021-12-19T20:00:00,40,,,,,,
16.074162,108.206333,0.523,1.52,3,0.234,34.2,0.0059,9.01,13.8,low,2021-08-21T17:00:00,41,,,,,,
15.802115,108.255958,4.957,14.99,5,0.314,64.1,0.4048,80.92,87.0,high,2020-09-18T10:00:00,42,,,,,,
15.569671,108.474954,2.491,18.22,9,0.375,45.3,-0.0964,34.59,66.7,low,2019-01-04T12:00:00,43,,,,,,
16.107561,108.260397,0.695,3.09,3,0.298,53.6,-0.026,34.87,22.6,low,2022-10-16T13:00:00,44,,,,,,
16.032632,108.189412,6.745,77.31,6,0.89,79.9,0.7664,174.3,98.5,critical,2024-02-06T14:00:00,45,,,,,,
16.056418,108.15465,0.259,19.78,2,1.275,42.3,0.0519,16.92,18.2,low,2022-09-18T11:00:00,46,,,,,,
15.683308,108.015857,2.964,21.61,5,0.531,13.3,0.1623,58.86,59.9,low,2020-06-22T08:00:00,47,,,,,,
15.630775,108.28822,0.518,8.1,0,1.053,40.4,0.1861,2.7,1.4,low,2023-01-25T03:00:00,48,,,,,,
15.995326,108.186755,6.594,31.89,9,0.342,48.5,0.6745,66.44,78.7,high,2023-01-29T23:00:00,49,,,,,,
16.063728,108.191756,10.415,51.33,13,1.26,68.1,-0.3162,117.83,100.0,high,2021-02-15T16:00:00,50,,,,,,
16.108701,108.261197,7.095,20.96,4,1.269,58.0,0.4636,62.52,83.7,critical,2019-07-12T15:00:00,51,,,,,,
16.001146,108.191355,0.572,7.59,2,1.177,54.5,0.1859,11.15,12.4,low,2021-05-28T12:00:00,52,,,,,,
15.620318,108.322529,0.567,22.78,2,1.314,42.3,0.0152,7.59,27.9,low,2020-11-29T11:00:00,53,,,,,,
15.799845,107.260104,1.293,29.15,2,1.438,42.1,0.0831,20.4,46.4,low,2022-05-11T16:00:00,54,,,,,,
16.06026,108.186012,0.911,21.82,4,0.859,23.9,-0.0125,22.81,35.1,low,2019-02-11T22:00:00,55,,,,,,
15.787781,108.107338,0.132,4.25,6,0.049,42.7,-0.1127,14.74,20.5,low,2021-03-10T20:00:00,56,,,,,,
16.133595,107.982229,1.769,12.53,0,1.222,45.5,0.2962,14.63,32.7,low,2020-03-01T20:00:00,57,,,,,,
16.066222,108.179453,0.558,19.91,5,1.15,4.0,-0.0578,19.07,29.0,low,2021-04-17T05:00:00,58,,,,,,
15.984535,108.074086,0.0,0.0,2,0.805,41.2,0.0,17.46,6.3,low,2020-03-13T12:00:00,59,,,,,,
16.072534,108.203527,0.13,1.35,0,1.527,31.0,0.0948,0.86,13.7,low,2021-12-02T14:00:00,60,,,,,,
16.048389,108.068079,1.195,4.16,1,0.574,35.1,0.192,25.1,41.2,low,2023-07-10T08:00:00,61,,,,,,
16.058037,108.155517,1.053,17.83,5,0.681,15.5,-0.0707,24.8,18.5,low,2019-07-13T11:00:00,62,,,,,,
15.895556,108.080148,0.437,18.74,6,0.366,13.9,-0.0095,36.67,23.8,low,2019-06-15T22:00:00,63,,,,,,
15.113642,108.180129,0.32,5.86,3,0.466,20.0,0.132,16.48,24.0,low,2020-05-03T21:00:00,64,,,,,,
16.068318,108.174318,0.696,17.48,4,1.526,19.7,-0.0833,26.68,32.0,low,2019-09-17T20:00:00,65,,,,,,
15.22239,108.253929,8.316,52.08,8,0.211,90.1,0.7052,125.66,100.0,critical,2022-09-10T15:00:00,66,,,,,,
15.790189,108.105639,6.834,9.06,9,0.579,56.7,0.391,63.12,92.3,high,2024-12-24T23:00:00,67,,,,,,
15.846582,108.337157,2.009,84.87,2,1.341,46.4,0.3551,47.99,72.3,medium,2022-04-25T15:00:00,68,,,,,,
15.9809,108.140097,4.019,75.04,4,1.39,64.5,0.3239,78.37,93.4,high,2021-04-22T08:00:00,69,,,,,,
16.067353,108.178891,0.356,0.03,4,0.398,48.5,-0.0174,3.9,15.4,low,2023-01-01T13:00:00,70,,,,,,
