latitude,longitude,water_level_m,rainfall_mm,hours_rain,tide_level,historical_score,water_level_trend,rain_6h,soil_saturation,risk_level,timestamp,id,month,year_index,month_sin,month_cos,seasonal_risk_score,data_source
15.522692,108.35633,2.246,27.57,10,0.686,9.9,-0.1674,59.17,60.7,medium,2024-01-06 14:00:00,5476.0,1,4,0.49999999999999994,0.8660254037844387,20.0,
15.961789,108.141498,2.671,50.21,10,0.17,34.5,-0.0971,91.68,74.9,medium,2023-08-30 21:00:00,466.0,8,3,-0.8660254037844384,-0.5000000000000004,45.0,
15.68321,107.999176,0.527,31.45,1,0.826,13.8,0.0161,10.48,28.0,low,2023-05-24 09:00:00,4663.0,5,3,0.49999999999999994,-0.8660254037844387,15.0,
15.602986,108.465779,3.019,23.06,2,1.464,55.2,0.2246,11.2,79.3,medium,2021-06-06 09:00:00,2975.0,6,1,1.2246467991473532e-16,-1.0,25.0,
16.072173,108.172805,1.1,299.666,18,1.402,70.0,0.373,182.3,81.1,high,2022-10-14 10:00:00,,10,2,-0.8660254037844386,0.5000000000000001,85.0,real_flood_report_2022
15.598967,108.217589,3.202,32.0,2,1.464,45.7,0.2502,16.68,76.5,medium,2023-03-11 20:00:00,2912.0,3,3,1.0,6.123233995736766e-17,12.0,
15.96256,108.166963,0.038,0.0,2,0.596,10.0,-0.0076,2.97,20.7,low,2022-06-19 18:00:00,3071.0,6,2,1.2246467991473532e-16,-1.0,25.0,
16.101822,108.130167,0.289,5.55,1,1.401,47.1,0.0935,4.19,9.8,low,2024-06-24 20:00:00,1847.0,6,4,1.2246467991473532e-16,-1.0,25.0,
16.032312,108.218704,0.5,298.93,18,1.482,90.0,0.285,194.24,80.5,high,2022-10-14 16:00:00,,10,2,-0.8660254037844386,0.5000000000000001,85.0,real_flood_report_2022
15.958424,108.16454,2.344,27.02,2,1.333,46.4,0.1696,19.37,62.0,medium,2019-04-12 12:00:00,820.0,4,-1,0.8660254037844387,-0.49999999999999983,10.0,
16.140387,108.025059,0.784,30.55,4,1.042,45.5,0.1703,34.87,23.7,low,2024-01-29 19:00:00,4809.0,1,4,0.49999999999999994,0.8660254037844387,20.0,
15.683936,108.015086,2.849,23.67,6,0.983,14.3,-0.1151,66.75,60.6,medium,2020-06-22 09:00:00,1323.0,6,0,1.2246467991473532e-16,-1.0,25.0,
15.962749,108.157464,2.631,39.03,9,0.298,37.0,-0.1051,69.63,72.3,medium,2024-02-21 19:00:00,3582.0,2,4,0.8660254037844386,0.5000000000000001,15.0,
16.064773,108.217628,0.5,268.287,18,1.511,90.0,0.216,175.98,82.1,high,2022-10-14 10:00:00,,10,2,-0.8660254037844386,0.5000000000000001,85.0,real_flood_report_2022
16.057227,108.158355,5.567,25.42,9,0.213,52.6,0.5498,53.76,62.8,high,2021-03-26 09:00:00,5453.0,3,1,1.0,6.123233995736766e-17,12.0,
16.054037,108.187389,12.98,44.66,20,0.187,73.9,-0.3161,144.36,100.0,high,2020-11-04 11:00:00,3040.0,11,0,-0.5000000000000004,0.8660254037844384,80.0,
16.100383,108.280067,14.725,58.77,17,1.427,55.1,0.6423,113.76,100.0,critical,2022-11-05 09:00:00,137.0,11,2,-0.5000000000000004,0.8660254037844384,80.0,
16.079986,108.04306,4.838,91.86,3,1.095,46.2,0.485,44.73,72.8,high,2022-09-18 00:00:00,3386.0,9,2,-1.0,-1.8369701987210297e-16,70.0,
16.037264,108.220146,3.067,21.97,7,0.297,50.6,0.2175,62.83,59.0,medium,2023-11-07 02:00:00,2652.0,11,3,-0.5000000000000004,0.8660254037844384,80.0,
15.617072,108.347549,4.478,14.65,2,0.562,40.5,0.3642,36.65,76.5,medium,2022-03-15 06:00:00,2476.0,3,2,1.0,6.123233995736766e-17,12.0,
15.983429,108.072086,3.981,27.61,9,0.359,21.2,0.2177,49.13,72.2,medium,2023-08-12 18:00:00,3242.0,8,3,-0.8660254037844384,-0.5000000000000004,45.0,
16.066383,108.209106,0.6,301.262,18,1.388,85.0,0.28,180.31,84.3,high,2022-10-14 14:00:00,,10,2,-0.8660254037844386,0.5000000000000001,85.0,real_flood_report_2022
15.789744,108.106303,4.932,64.99,3,1.24,80.6,0.4853,74.74,91.6,critical,2023-06-24 02:00:00,4444.0,6,3,1.2246467991473532e-16,-1.0,25.0,
16.061201,108.191528,6.515,37.7,3,1.32,44.6,0.4226,60.16,98.1,critical,2021-02-15 06:00:00,2906.0,2,1,0.8660254037844386,0.5000000000000001,15.0,
16.131812,108.050801,1.346,59.53,3,1.127,29.2,-0.0051,37.46,63.6,low,2021-04-16 10:00:00,147.0,4,1,0.8660254037844387,-0.49999999999999983,10.0,
15.983221,108.073559,3.784,35.11,13,1.475,4.2,-0.0527,66.46,76.7,medium,2023-08-12 22:00:00,3171.0,8,3,-0.8660254037844384,-0.5000000000000004,45.0,
16.06307,108.193513,9.196,59.41,9,0.359,52.1,0.2845,130.45,100.0,critical,2021-02-15 12:00:00,2740.0,2,1,0.8660254037844386,0.5000000000000001,15.0,
15.222919,108.252962,3.663,15.02,1,1.05,44.8,0.0684,5.01,75.8,medium,2023-08-07 00:00:00,2549.0,8,3,-0.8660254037844384,-0.5000000000000004,45.0,
16.065596,108.182375,1.537,29.35,3,0.996,27.8,0.077,27.59,50.0,low,2019-04-25 20:00:00,3892.0,4,-1,0.8660254037844387,-0.49999999999999983,10.0,
15.092405,108.121223,2.889,26.05,7,0.755,19.7,0.1147,65.64,63.4,medium,2020-07-23 13:00:00,3565.0,7,0,-0.4999999999999998,-0.8660254037844388,35.0,
15.995874,108.212078,0.281,0.0,5,0.103,27.6,-0.0541,7.55,3.9,low,2021-04-01 15:00:00,3903.0,4,1,0.8660254037844387,-0.49999999999999983,10.0,
